code,name,last_rcd,id,username,address,is_migrated,contact_email
1,Leanne Graham,2026-04-23T01:09:09.095576Z,1,bret,"{""street"": ""Kulas Light"", ""suite"": ""Apt. 556"", ""city"": ""Gwenborough"", ""zipcode"": ""92998-3874"", ""geo"": {""lat"": ""-37.3159"", ""lng"": ""81.1496""}}",True,Sincere@april.biz
2,Ervin Howell,2026-04-23T01:09:09.095638Z,2,antonette,"{""street"": ""Victor Plains"", ""suite"": ""Suite 879"", ""city"": ""Wisokyburgh"", ""zipcode"": ""90566-7771"", ""geo"": {""lat"": ""-43.9509"", ""lng"": ""-34.4618""}}",True,Shanna@melissa.tv
3,Clementine Bauch,2026-04-23T01:09:09.095661Z,3,samantha,"{""street"": ""Douglas Extension"", ""suite"": ""Suite 847"", ""city"": ""McKenziehaven"", ""zipcode"": ""59590-4157"", ""geo"": {""lat"": ""-68.6102"", ""lng"": ""-47.0653""}}",True,Nathan@yesenia.net
4,Patricia Lebsack,2026-04-23T01:09:09.095677Z,4,karianne,"{""street"": ""Hoeger Mall"", ""suite"": ""Apt. 692"", ""city"": ""South Elvis"", ""zipcode"": ""53919-4257"", ""geo"": {""lat"": ""29.4572"", ""lng"": ""-164.2990""}}",True,Julianne.OConner@kory.org
5,Chelsey Dietrich,2026-04-23T01:09:09.095694Z,5,kamren,"{""street"": ""Skiles Walks"", ""suite"": ""Suite 351"", ""city"": ""Roscoeview"", ""zipcode"": ""33263"", ""geo"": {""lat"": ""-31.8129"", ""lng"": ""62.5342""}}",True,Lucio_Hettinger@annie.ca
6,Mrs. Dennis Schulist,2026-04-23T01:09:09.095718Z,6,leopoldo_corkery,"{""street"": ""Norberto Crossing"", ""suite"": ""Apt. 950"", ""city"": ""South Christy"", ""zipcode"": ""23505-1337"", ""geo"": {""lat"": ""-71.4197"", ""lng"": ""71.7478""}}",True,Karley_Dach@jasper.info
7,Kurtis Weissnat,2026-04-23T01:09:09.095736Z,7,elwyn.skiles,"{""street"": ""Rex Trail"", ""suite"": ""Suite 280"", ""city"": ""Howemouth"", ""zipcode"": ""58804-1099"", ""geo"": {""lat"": ""24.8918"", ""lng"": ""21.8984""}}",True,Telly.Hoeger@billy.biz
8,Nicholas Runolfsdottir V,2026-04-23T01:09:09.095753Z,8,maxime_nienow,"{""street"": ""Ellsworth Summit"", ""suite"": ""Suite 729"", ""city"": ""Aliyaview"", ""zipcode"": ""45169"", ""geo"": {""lat"": ""-14.3990"", ""lng"": ""-120.7677""}}",True,Sherwood@rosamond.me
9,Glenna Reichert,2026-04-23T01:09:09.095766Z,9,delphine,"{""street"": ""Dayna Park"", ""suite"": ""Suite 449"", ""city"": ""Bartholomebury"", ""zipcode"": ""76495-3109"", ""geo"": {""lat"": ""24.6463"", ""lng"": ""-168.8889""}}",True,Chaim_McDermott@dana.io
10,Clementina DuBuque,2026-04-23T01:09:09.095783Z,10,moriah.stanton,"{""street"": ""Kattie Turnpike"", ""suite"": ""Suite 198"", ""city"": ""Lebsackbury"", ""zipcode"": ""31428-2261"", ""geo"": {""lat"": ""-38.2386"", ""lng"": ""57.2232""}}",True,Rey.Padberg@karina.biz
